Feature,SHAP_rank,priority_rank,mean_abs_SHAP,discovery_deltaBeta,validation_mean_deltaBeta,legacy_discovery_deltaBeta,discovery_no_cpgs,score_SHAP,score_discovery_delta,priority_score,rank_change
DMR_167,68,78,0.00127430902308685,0.231461969577233,0.216260771145933,0.216260771145933,12,0.288301263931672,0.19776506275733,0.252086783461935,-10
DMR_61,55,79,0.00140537937064939,0.215382804536996,0.234438492401166,0.234438492401166,15,0.352466477161456,0.0903973338941157,0.24763881985452,-24
DMR_64,63,80,0.00133826228096765,0.220916268523675,0.23267622814812,0.23267622814812,24,0.319609446941584,0.127346731422494,0.242704360733948,-17
DMR_154,64,81,0.00132676914418338,0.222006248166138,0.227274927008142,0.227274927008142,14,0.31398300597949,0.134625009767516,0.2422398074947,-17
DMR_93,90,82,0.00109050429539513,0.246388536796695,0.223014579550387,0.223014579550387,13,0.198320045720935,0.297436383878002,0.237966580983762,8
DMR_125,71,83,0.00124850692356395,0.22820392321434,0.213854988950398,0.213854988950398,12,0.27566990032845,0.176009639659209,0.235805796060754,-12
DMR_83,85,84,0.00115851553682913,0.236868285741128,0.226570698317949,0.226570698317949,9,0.231614806052237,0.233865437781861,0.232515058744087,1
DMR_78,53,85,0.0014222505617794,0.201845090120659,0.228094546700818,0.228094546700818,14,0.360725733327548,0,0.216435439996529,-32
DMR_95,57,86,0.00138996813031471,0.204211978838727,0.222566685900899,0.222566685900899,15,0.344921936839409,0.0158047675669097,0.21327506913041,-29
DMR_110,81,87,0.00118988069602249,0.225160528532658,0.219082771380032,0.219082771380032,17,0.246969553827421,0.155687541205161,0.210456748778517,-6
DMR_202,76,88,0.00123202702295627,0.219804119347192,0.200158321820893,0.200158321820893,28,0.267602199615346,0.119920417249011,0.208529486668812,-12
DMR_49,108,89,0.000783216257466159,0.266500326097456,0.240826628551679,0.240826628551679,6,0.0478878324602937,0.431731736602758,0.201425394117279,19
DMR_196,77,90,0.00122074054583691,0.218205918504051,0.201981678111545,0.201981678111545,10,0.262076928457951,0.109248520147021,0.200945565133579,-13
DMR_104,100,91,0.00103158594518646,0.238454615378251,0.220293595950096,0.220293595950096,13,0.169476691182012,0.244458065566954,0.199469240935989,9
DMR_25,78,92,0.00120862379297555,0.218196282981752,0.25884641563515,0.25884641563515,11,0.256145197555726,0.109184179483618,0.197360790326883,-14
DMR_205,103,93,0.000977103886132947,0.242505376995995,0.197229706079494,0.197229706079494,14,0.142805113656071,0.271506800620988,0.194285788442038,10
DMR_96,104,94,0.00097405379643232,0.23941435278384,0.222340599516979,0.222340599516979,16,0.141311948652314,0.250866658630418,0.185133832643555,10
DMR_160,69,95,0.00126690454077308,0.206971522036328,0.219420561467137,0.219420561467137,25,0.284676415174082,0.034231463548008,0.184498434523652,-26
DMR_162,86,96,0.00112377417134438,0.219556271815578,0.218125708720837,0.218125708720837,25,0.214607243581563,0.118265429163053,0.176070517814159,-10
DMR_80,99,97,0.00103881572098892,0.221875634255431,0.226851153017425,0.226851153017425,16,0.173016012734107,0.133752842654642,0.157310744702321,2
DMR_159,98,98,0.00104624400614243,0.22053311772351,0.220386690473177,0.220386690473177,20,0.176652514121873,0.124788263297881,0.155906813792276,0
DMR_226,95,99,0.00106906630394963,0.215587868761866,0.18906845554515,0.18906845554515,27,0.187825122056664,0.0917666388325433,0.149401728767016,-4
DMR_231,89,100,0.00110124461992214,0.210536393001525,0.184678386975475,0.184678386975475,17,0.203577949024383,0.058035690836291,0.145361045749146,-11
DMR_153,106,101,0.000911265800384723,0.23021784193939,0.229475879384081,0.229475879384081,12,0.110574217124268,0.189457469760002,0.142127518178561,5
DMR_218,94,102,0.00107216254820334,0.212484404066824,0.191638516710568,0.191638516710568,25,0.189340881924896,0.0710434262104957,0.142021899639136,-8
DMR_32,105,103,0.000924336563602362,0.227853002169918,0.253737432266706,0.253737432266706,13,0.116972981791735,0.173666383933205,0.139650342648323,2
DMR_193,87,104,0.00112345246819036,0.203399542275073,0.204355160852371,0.204355160852371,15,0.214449754478513,0.0103797676700446,0.132821759755125,-17
DMR_229,91,105,0.00108545876369909,0.204243054686711,0.187086612333121,0.187086612333121,12,0.195850016281367,0.0160122748107369,0.123914919693115,-14
DMR_180,93,106,0.0010756673666409,0.205145485930538,0.209710303099745,0.209710303099745,20,0.191056658426293,0.0220382091712863,0.12344927872429,-13
DMR_192,97,107,0.00104818455275836,0.204709044809455,0.204816672053661,0.204816672053661,34,0.177602504640014,0.0191238978972909,0.114211061942925,-10
DMR_168,101,108,0.00100030864298591,0.206997597316797,0.215744512892282,0.215744512892282,10,0.154164953613047,0.0344055797808114,0.106261204080153,-7
DMR_219,107,109,0.000875406819159202,0.204844489602953,0.191187082669462,0.191187082669462,21,0.0930195282161567,0.0200283229608957,0.0638230461140523,-2
DMR_171,109,110,0.000761380936888405,0.209514534556183,0.214192469297438,0.214192469297438,8,0.0371983971542358,0.0512122879903402,0.0428039534886776,-1
